"Id";"Category";"Label";"Primary Yardstick";"Secondary Yardstick";"Primary Comment";"Secondary Comment";"Primary UoM";"Secondary UoM"
"http://environment.data.gov.uk/asset-management/id/drl/SolarFarm";"http://environment.data.gov.uk/asset-management/id/drl/MechanicalAndElectrical";"Solar Farm";"MW (Megawatt)";"ha";"Megawatt";;"MW";"ha"
"http://environment.data.gov.uk/asset-management/id/drl/Spillway";"http://environment.data.gov.uk/asset-management/id/drl/Defence";"Spillway";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/Steps";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Steps";"m2";"Nr";;;"m2";"Nr"
"http://environment.data.gov.uk/asset-management/id/drl/StillingBasin";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Stilling Basin";"m2";"m3";;;"m2";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/StillingWell";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Stilling Well";"mm (diameter)";"m3";"diameter";;"mm";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/StorageLocation";"http://environment.data.gov.uk/asset-management/id/drl/BuildingsAndCompounds";"Storage Location";"m2";"m3";;;"m2";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterBarrier";"http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterManagement";"Surface Water Barrier";;;;;;
"http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterChannel";"http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterManagement";"Surface Water Channel";;;;;;
"http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterPipedBuriedSystem";"http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterManagement";"Surface Water Piped/Buried System";;;;;;
"http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterTank";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Surface Water Tank";"m3";"m2";;;"m3";"m2"
"http://environment.data.gov.uk/asset-management/id/drl/Swale";"http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterManagement";"Swale";"m3";"m2";;;"m3";"m2"
"http://environment.data.gov.uk/asset-management/id/drl/Telecommunications";"http://environment.data.gov.uk/asset-management/id/drl/Instruments";"Telecommunications";"m (length)";;"length";;"m";
"http://environment.data.gov.uk/asset-management/id/drl/TelemetrySystem";"http://environment.data.gov.uk/asset-management/id/drl/Instruments";"Telemetry System";;;;;;
"http://environment.data.gov.uk/asset-management/id/drl/TidalBarrier";"http://environment.data.gov.uk/asset-management/id/drl/AssetComplex";"Tidal Barrier";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/UtilityServicesCrossing";"http://environment.data.gov.uk/asset-management/id/drl/ChannelCrossings";"Utility Services Crossing";"m (length)";;"length";;"m";
"http://environment.data.gov.uk/asset-management/id/drl/VehicleAccessRoad";"http://environment.data.gov.uk/asset-management/id/drl/Amenities";"Vehicle Access Road";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/VisitorCentre";"http://environment.data.gov.uk/asset-management/id/drl/BuildingsAndCompounds";"Visitor Centre";"m2";"m3";;;"m2";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/VortexFlowControl";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Vortex Flow Control";"l/s (maximum flow)";"Nr";"maximum flow";;"l/s";"Nr"
"http://environment.data.gov.uk/asset-management/id/drl/Wall";"http://environment.data.gov.uk/asset-management/id/drl/Defence";"Wall";"m2";"m3";;;"m2";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/WarningFlag";"http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation";"Warning Flag";"Nr";;;;"Nr";
"http://environment.data.gov.uk/asset-management/id/drl/WastewaterSystem";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Wastewater System";;;;;;
"http://environment.data.gov.uk/asset-management/id/drl/WaterBaffles";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Water Baffles";;;;;;
"http://environment.data.gov.uk/asset-management/id/drl/WaterDistributionPipeline";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Water Distribution Pipeline";"mm (diameter)";;"diameter";;"mm";
"http://environment.data.gov.uk/asset-management/id/drl/WaterLevelAndFlowMonitoringComplex";"http://environment.data.gov.uk/asset-management/id/drl/AssetComplex";"Water Level and Flow Monitoring Complex";"Nr";;;;"Nr";
"http://environment.data.gov.uk/asset-management/id/drl/WaterStorageArea";"http://environment.data.gov.uk/asset-management/id/drl/Land";"Water Storage Area";"ha";"m2";;;"ha";"m2"
"http://environment.data.gov.uk/asset-management/id/drl/WaterSupplySystem";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Water Supply System";;;;;;
"http://environment.data.gov.uk/asset-management/id/drl/WaterTransferScheme";"http://environment.data.gov.uk/asset-management/id/drl/AssetComplex";"Water Transfer Scheme";"Nr";;;;"Nr";
"http://environment.data.gov.uk/asset-management/id/drl/Watermill";"http://environment.data.gov.uk/asset-management/id/drl/BuildingsAndCompounds";"Watermill";"m2";"m3";;;"m2";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/Weir";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Weir";"m3";"m2";;;"m3";"m2"
"http://environment.data.gov.uk/asset-management/id/drl/Well";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Well";"m3";;;;"m3";
"http://environment.data.gov.uk/asset-management/id/drl/WindPowerGenerator";"http://environment.data.gov.uk/asset-management/id/drl/MechanicalAndElectrical";"Wind Power Generator";"kW";"kVA";;;"kW";"kVA"
